Title,Platform,Metascore,User Score
The Legend of Zelda: Ocarina of Time,"
Nintendo 64
        ",99,9.1
Tony Hawk's Pro Skater 2,"
PlayStation
        ",98,7.4
Grand Theft Auto IV,"
PlayStation 3
        ",98,7.8
SoulCalibur,"
Dreamcast
        ",98,8.4
Grand Theft Auto IV,"
Xbox 360
        ",98,7.9
Super Mario Galaxy,"
Wii
        ",97,9.1
Super Mario Galaxy 2,"
Wii
        ",97,9.1
Red Dead Redemption 2,"
Xbox One
        ",97,8.2
Grand Theft Auto V,"
Xbox One
        ",97,7.9
Grand Theft Auto V,"
PlayStation 3
        ",97,8.3
Disco Elysium: The Final Cut,"
PC
        ",97,8.2
Grand Theft Auto V,"
Xbox 360
        ",97,8.3
Tony Hawk's Pro Skater 2,"
Dreamcast
        ",97,6.1
The Legend of Zelda: Breath of the Wild,"
Switch
        ",97,8.7
Tony Hawk's Pro Skater 3,"
PlayStation 2
        ",97,7.5
Perfect Dark,"
Nintendo 64
        ",97,8.8
Red Dead Redemption 2,"
PlayStation 4
        ",97,8.6
Grand Theft Auto V,"
PlayStation 4
        ",97,8.3
Metroid Prime,"
GameCube
        ",97,8.9
Grand Theft Auto III,"
PlayStation 2
        ",97,8.4
Super Mario Odyssey,"
Switch
        ",97,8.9
Halo: Combat Evolved,"
Xbox
        ",97,8.7
NFL 2K1,"
Dreamcast
        ",97,6.1
Half-Life 2,"
PC
        ",96,9.2
Grand Theft Auto V,"
PC
        ",96,7.8
The Legend of Zelda: Breath of the Wild,"
Wii U
        ",96,8.3
BioShock,"
Xbox 360
        ",96,9.0
GoldenEye 007,"
Nintendo 64
        ",96,9.0
Uncharted 2: Among Thieves,"
PlayStation 3
        ",96,8.8
Resident Evil 4,"
GameCube
        ",96,9.2
The Orange Box,"
Xbox 360
        ",96,8.9
The Orange Box,"
PC
        ",96,9.1
Batman: Arkham City,"
PlayStation 3
        ",96,8.8
Tekken 3,"
PlayStation
        ",96,9.0
Elden Ring,"
Xbox Series X
        ",96,7.7
Mass Effect 2,"
Xbox 360
        ",96,8.9
The House in Fata Morgana - Dreams of the Revenants Edition -,"
Switch
        ",96,8.6
The Legend of Zelda: Twilight Princess,"
GameCube
        ",96,8.9
Elden Ring,"
PlayStation 5
        ",96,7.9
The Elder Scrolls V: Skyrim,"
Xbox 360
        ",96,8.6
Half-Life,"
PC
        ",96,9.1
Resident Evil 4,"
PlayStation 2
        ",96,9.3
